iter	Passed	Remaining
800	8179	2032
801	8189	2021
802	8199	2011
803	8208	2001
804	8217	1990
805	8226	1980
806	8235	1969
807	8243	1958
808	8252	1948
809	8261	1937
810	8270	1927
811	8279	1916
812	8289	1906
813	8297	1896
814	8307	1885
815	8315	1875
816	8325	1864
817	8333	1854
818	8343	1843
819	8352	1833
820	8362	1823
821	8370	1812
822	8381	1802
823	8391	1792
824	8399	1781
825	8409	1771
826	8417	1760
827	8427	1750
828	8435	1740
829	8444	1729
830	8452	1718
831	8461	1708
832	8469	1698
833	8478	1687
834	8487	1677
835	8495	1666
836	8505	1656
837	8516	1646
838	8525	1636
839	8536	1625
840	8545	1615
841	8556	1605
842	8565	1595
843	8574	1584
844	8582	1574
845	8592	1564
846	8601	1553
847	8610	1543
848	8618	1532
849	8626	1522
850	8635	1512
851	8644	1501
852	8653	1491
853	8662	1480
854	8672	1470
855	8680	1460
856	8691	1450
857	8702	1440
858	8712	1430
859	8723	1420
860	8733	1409
861	8743	1399
862	8754	1389
863	8764	1379
864	8775	1369
865	8786	1359
866	8795	1349
867	8806	1339
868	8817	1329
869	8827	1319
870	8839	1309
871	8850	1299
872	8860	1288
873	8869	1278
874	8880	1268
875	8889	1258
876	8899	1248
877	8907	1237
878	8916	1227
879	8925	1217
880	8934	1206
881	8943	1196
882	8952	1186
883	8961	1175
884	8970	1165
885	8979	1155
886	8988	1145
887	8997	1134
888	9006	1124
889	9017	1114
890	9025	1104
891	9035	1094
892	9045	1083
893	9054	1073
894	9063	1063
895	9072	1053
896	9085	1043
897	9097	1033
898	9107	1023
899	9118	1013
900	9130	1003
901	9140	993
902	9149	982
903	9159	972
904	9168	962
905	9178	952
906	9186	941
907	9195	931
908	9204	921
909	9214	911
910	9223	901
911	9232	890
912	9241	880
913	9249	870
914	9258	860
915	9266	849
916	9275	839
917	9283	829
918	9293	819
919	9301	808
920	9310	798
921	9319	788
922	9329	778
923	9337	768
924	9347	757
925	9356	747
926	9365	737
927	9374	727
928	9382	717
929	9392	706
930	9401	696
931	9410	686
932	9418	676
933	9428	666
934	9438	656
935	9448	646
936	9460	636
937	9472	626
938	9484	616
939	9495	606
940	9506	596
941	9517	585
942	9527	575
943	9538	565
944	9547	555
945	9558	545
946	9569	535
947	9578	525
948	9588	515
949	9596	505
950	9606	494
951	9615	484
952	9625	474
953	9634	464
954	9643	454
955	9652	444
956	9660	434
957	9670	423
958	9678	413
959	9688	403
960	9696	393
961	9705	383
962	9713	373
963	9723	363
964	9732	352
965	9740	342
966	9749	332
967	9758	322
968	9767	312
969	9776	302
970	9784	292
971	9793	282
972	9802	272
973	9810	261
974	9819	251
975	9828	241
976	9837	231
977	9847	221
978	9855	211
979	9864	201
980	9872	191
981	9884	181
982	9894	171
983	9902	161
984	9911	150
985	9919	140
986	9928	130
987	9937	120
988	9945	110
989	9954	100
990	9964	90
991	9971	80
992	9980	70
993	9988	60
994	9997	50
995	10005	40
996	10014	30
997	10023	20
998	10033	10
999	10041	0
